site,lon,lat,date,label,mars_p,mars_flux_kg_h
pipeline-barrow,-3.18282,54.09239,2026-03-14,tp,0.972,4728
compressor-aberdeen,-2.38513,57.13845,2025-05-13,fp,0.693719208240509,0.0
compressor-aberdeen,-2.38513,57.13845,2025-09-05,fp,0.7438342571258545,14875.856264829577
compressor-abson,-2.41794,51.47892,2026-03-19,fp,0.6767997741699219,6061.082594057383
compressor-alrewas,-1.77529,52.73496,2026-04-23,fp,0.7284046411514282,15871.066729047308
compressor-aylesbury,-0.9631,51.86133,2025-01-30,fp,0.8561407923698425,4375.677648093816
compressor-aylesbury,-0.9631,51.86133,2025-03-29,fp,0.7012721300125122,15298.875507571129
compressor-aylesbury,-0.9631,51.86133,2025-04-02,fp,0.6941078305244446,8076.525461298212
compressor-aylesbury,-0.9631,51.86133,2026-05-20,fp,0.6738961338996887,0.0
compressor-aylesbury,-0.9631,51.86133,2026-06-24,fp,0.9498788118362427,9255.559603915955
compressor-aylesbury,-0.9631,51.86133,2026-07-12,fp,0.9819256067276001,8627.296633233533
compressor-cambridge,0.16601,52.08102,2026-05-12,fp,0.966327965259552,19655.47003293205
compressor-chelmsford,0.40494,51.74923,2026-01-05,fp,0.8399481773376465,19712.62596994675
compressor-churchover,-1.27203,52.41424,2026-03-18,fp,0.991108775138855,45632.59014374937
compressor-churchover,-1.27203,52.41424,2026-03-21,fp,0.6737107634544373,9738.653634994253
compressor-churchover,-1.27203,52.41424,2026-03-26,fp,0.9090582728385925,4880.301549674856
compressor-churchover,-1.27203,52.41424,2026-07-16,fp,0.9584034085273743,45579.866495016126
compressor-felindre,-3.95943,51.69095,2026-07-02,fp,0.9911205172538757,7887.875070704153
compressor-huntingdon,-0.36335,52.31183,2026-03-18,fp,0.8697664737701416,3914.8552785844913
compressor-warrington,-2.48042,53.40793,2026-04-30,fp,0.8639428615570068,53551.83394267478
compressor-wooler,-2.08834,55.58153,2026-01-10,fp,0.9271489381790161,13752.450175546248
compressor-wormington,-1.92736,52.02888,2026-03-19,fp,0.9836093187332153,476.3271796980571
compressor-wormington,-1.92736,52.02888,2026-04-30,fp,0.9273310303688049,20370.350640498164
storage-atwick,-0.20771,53.94583,2026-04-30,fp,0.986255943775177,19185.561284443367
storage-atwick,-0.20771,53.94583,2026-06-24,fp,0.6123632788658142,14932.344622398943
storage-hole-house,-2.45612,53.13968,2026-03-21,fp,0.6527196764945984,4349.158827411823
storage-holford,-2.40482,53.22605,2026-01-10,fp,0.994397759437561,6734.301904589795
terminal-point-of-ayr,-3.31912,53.34587,2026-03-14,fp,0.881642758846283,8378.409954716974
