site,date,label,mars_p,mars_flux,mgrs,status,wind_ms,t,t_up,px,detected,flux,flux_std,lit,clear,bg_passes
pipeline-barrow,2026-03-14,tp,0.97,4728.0,30UVF,ok,4.1,2.16,-1.3,57,0,273207.0,13155.0,0,1.0,4
pipeline-barrow,2026-03-14,tp,0.97,4728.0,30UVE,ok,4.1,2.1,-2.18,49,0,151402.0,8977.0,0,1.0,4
compressor-abson,2026-03-19,fp,0.68,6061.0,30UWC,ok,3.1,3.61,0.87,0,0,,,0,1.0,12
compressor-aylesbury,2025-04-02,fp,0.69,8077.0,30UXC,ok,6.8,3.27,2.28,0,0,,,0,1.0,12
compressor-churchover,2026-03-18,fp,0.99,45633.0,30UXD,ok,2.7,2.71,-1.52,0,0,,,0,1.0,12
storage-atwick,2026-04-30,fp,0.99,19186.0,30UXE,ok,7.1,1.96,-4.98,250,0,657147.0,11031.0,0,1.0,12
compressor-alrewas,2026-04-23,fp,0.73,15871.0,30UWD,ok,4.6,1.28,2.07,0,0,,,0,1.0,12
compressor-aylesbury,2026-06-24,fp,0.95,9256.0,30UXC,ok,3.1,1.17,-1.35,0,0,,,0,1.0,12
compressor-huntingdon,2026-03-18,fp,0.87,3915.0,30UXD,ok,3.6,1.02,-1.32,0,0,,,0,1.0,12
compressor-aberdeen,2025-09-05,fp,0.74,14876.0,30VWJ,ok,3.0,0.76,1.31,0,0,,,0,0.89,12
compressor-aylesbury,2026-07-12,fp,0.98,8627.0,30UXC,ok,6.3,0.6,-0.8,0,0,,,0,0.7,12
compressor-wormington,2026-03-19,fp,0.98,476.0,30UWC,ok,2.4,0.35,1.33,0,0,,,0,1.0,12
compressor-aberdeen,2025-05-13,fp,0.69,0.0,30VWJ,ok,2.5,0.12,2.38,0,0,,,0,1.0,12
compressor-wormington,2026-04-30,fp,0.93,20370.0,30UWC,ok,6.1,-0.09,-0.34,0,0,,,0,1.0,12
storage-atwick,2026-06-24,fp,0.61,14932.0,30UXE,ok,3.6,-0.31,0.92,0,0,,,0,1.0,12
compressor-warrington,2026-04-30,fp,0.86,53552.0,30UWE,ok,4.6,-0.62,0.24,0,0,,,0,0.99,6
compressor-cambridge,2026-05-12,fp,0.97,19655.0,30UYC,ok,4.5,-0.76,0.34,32,0,163460.0,6388.0,0,0.74,12
compressor-cambridge,2026-05-12,fp,0.97,19655.0,31UCT,ok,4.5,-0.9,0.38,29,0,160183.0,6404.0,0,0.74,12
compressor-churchover,2026-07-16,fp,0.96,45580.0,30UXD,ok,3.7,-0.9,-0.57,0,0,,,0,0.79,12
terminal-point-of-ayr,2026-03-14,fp,0.88,8378.0,30UVE,ok,4.7,-3.73,1.9,0,0,,,0,1.0,12
compressor-chelmsford,2026-01-05,fp,0.84,19713.0,31UCT,insufficient_valid,3.8,,,0,0,,,0,0.98,12
compressor-aylesbury,2026-05-20,fp,0.67,0.0,30UXC,insufficient_valid,7.9,,,0,0,,,0,0.64,12
compressor-aylesbury,2025-03-29,fp,0.7,15299.0,30UXC,insufficient_valid,3.4,,,0,0,,,0,0.6,12
storage-holford,2026-01-10,fp,0.99,6734.0,30UWE,insufficient_valid,1.4,,,0,0,,,0,1.0,12
storage-holford,2026-01-10,fp,0.99,6734.0,30UWD,insufficient_valid,1.4,,,0,0,,,0,1.0,12
compressor-wooler,2026-01-10,fp,0.93,13752.0,30UWG,insufficient_valid,1.8,,,0,0,,,0,1.0,12
compressor-churchover,2026-03-21,fp,0.67,9739.0,30UXD,cloudy,,,,0,0,,,0,0.36,12
compressor-churchover,2026-03-26,fp,0.91,4880.0,30UXD,cloudy,,,,0,0,,,0,0.15,12
compressor-chelmsford,2026-01-05,fp,0.84,19713.0,30UYC,insufficient_valid,3.8,,,0,0,,,0,0.98,12
compressor-felindre,2026-07-02,fp,0.99,7888.0,30UVC,insufficient_valid,4.9,,,0,0,,,0,1.0,5
compressor-aylesbury,2025-01-30,fp,0.86,4376.0,30UXC,insufficient_valid,3.8,,,0,0,,,0,1.0,12
storage-hole-house,2026-03-21,fp,0.65,4349.0,30UWD,insufficient_valid,0.7,,,0,0,,,0,0.97,8
